1	4	1
1	7	1
1	9	1
1	10	1
1	12	2
1	13	1
1	16	1
1	21	1
1	23	1
1	24	2
1	26	1
1	27	2
1	29	2
1	32	1
1	34	1
1	36	1
1	40	2
1	43	1
1	45	2
1	46	2
1	49	1
1	56	1
1	58	1
1	59	1
1	64	1
1	67	1
1	68	1
1	71	1
1	72	2
1	75	2
1	82	3
1	83	1
1	84	1
1	86	2
1	87	2
1	89	1
1	92	1
1	93	1
1	96	1
1	100	1
1	106	1
1	108	1
1	110	1
2	4	1
2	5	3
2	6	2
2	7	2
2	8	6
2	10	4
2	12	1
2	13	2
2	14	1
2	17	1
2	22	1
2	25	1
2	26	1
2	27	1
2	28	3
2	32	1
2	34	2
2	38	1
2	40	2
2	42	1
2	43	1
2	44	1
2	45	3
2	47	3
2	49	1
2	54	1
2	55	1
2	56	1
2	59	2
2	60	3
2	61	1
2	63	1
2	66	1
2	68	2
2	71	2
2	72	2
2	74	1
2	77	1
2	79	1
2	81	1
2	83	1
2	84	2
2	85	2
2	86	1
2	87	1
2	89	2
2	90	1
2	93	1
2	95	1
2	96	1
2	99	2
2	100	1
2	101	2
2	105	1
2	110	1
2	111	3
2	112	1
2	113	1
2	114	2
3	4	1
3	5	2
3	7	1
3	8	2
3	15	4
3	17	1
3	24	1
3	25	1
3	30	2
3	36	1
3	44	1
3	53	1
3	55	2
3	56	1
3	59	1
3	60	1
3	62	1
3	63	1
3	65	1
3	66	1
3	67	1
3	69	1
3	73	1
3	74	1
3	75	1
3	81	1
3	83	1
3	87	1
3	88	1
3	95	1
3	99	2
3	108	1
3	110	1
3	113	1
3	114	1
4	5	2
4	6	1
4	7	2
4	8	3
4	10	4
4	11	1
4	12	1
4	15	1
4	16	2
4	17	2
4	18	1
4	19	1
4	21	2
4	22	1
4	23	2
4	24	3
4	25	4
4	26	2
4	28	1
4	31	1
4	35	1
4	37	1
4	38	2
4	39	2
4	41	1
4	42	1
4	43	1
4	44	2
4	45	3
4	46	1
4	48	2
4	49	2
4	50	2
4	52	1
4	55	1
4	60	1
4	61	1
4	63	2
4	64	3
4	65	3
4	66	2
4	69	2
4	72	1
4	73	2
4	74	3
4	75	2
4	78	1
4	82	1
4	83	2
4	85	1
4	87	2
4	88	2
4	90	1
4	97	2
4	98	2
4	99	3
4	102	1
4	103	1
4	105	1
