id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
94	predictive model	-0.6499	-0.1014	2	51	63	7	2021.5714	5.7143	0.9386
95	present study	0.7387	0.8483	1	32	41	7	2021.1429	18.8571	0.7836
96	random forest	-0.0264	-1.0571	2	45	60	7	2022.7143	7.1429	0.8792
97	reference	0.1885	-0.3046	1	45	57	8	2021.75	16	0.3255
98	region	0.1475	-0.2439	1	63	98	15	2022.8	6.7333	0.3895
99	regression model	0.0742	0.525	3	67	110	20	2020.2	16.3	0.6294
100	relationship	-0.8271	0.2704	2	65	93	17	2021.6471	6.3529	0.5435
101	researcher	-0.4839	-0.4916	2	64	111	12	2021.4167	37.25	1.2161
102	respect	-0.0412	0.7442	3	32	40	6	2020.8333	11.1667	2.0653
103	risk	0.0684	0.8524	3	60	85	12	2021.3333	19	0.6143
104	rmse	0.1734	-0.8774	2	47	55	7	2023	10.4286	0.9379
105	safety	-0.2059	-0.037	1	53	76	12	2020.8333	63.0833	1.4202
106	scenario analysis	-0.038	-0.5801	3	35	48	9	2022.1111	12.1111	1.0267
107	scope	-0.1157	-0.2572	3	39	56	10	2021.1	41.7	2.2601
108	sensitivity	0.533	0.6469	1	46	75	12	2021.8333	41.3333	0.8316
109	set	-0.2617	0.098	3	75	106	17	2020.8235	13.3529	1.1632
110	stakeholder	-0.7481	-0.428	2	57	91	10	2021.7	8.6	1.1365
111	state	0.3614	-0.4318	3	54	91	14	2021.8571	34.5	1.2354
112	sustainable development	-0.6088	0.3419	3	40	62	8	2023.5	18.75	1.5333
113	utilization	-0.2328	0.82	3	50	70	9	2021.7778	12.6667	1.8996
114	variation	0.3299	0.2966	3	65	111	17	2021.1765	23.0588	1.0419
115	wide range	-0.7879	-0.5982	2	46	55	6	2021.6667	19.3333	1.3875
